timestamp,account_value,date,time
2025-09-29T03:07:12.036545,125064.25,2025-09-29,03:07:12
2025-09-29T03:07:20.489767,315530.26,2025-09-29,03:07:20
2025-09-29T03:19:38.715630,415752.28,2025-09-29,03:19:38
2025-09-29T03:22:42.258749,415722.98,2025-09-29,03:22:42
2025-09-29T03:24:02.111522,415714.58,2025-09-29,03:24:02
2025-09-29T03:25:20.472329,357438.86,2025-09-29,03:25:20
2025-09-29T03:44:01.871579,357429.76,2025-09-29,03:44:01
2025-09-29T04:30:35.297074,125064.25,2025-09-29,04:30:35
2025-09-29T04:47:03.688897,125064.25,2025-09-29,04:47:03
2025-09-29T04:47:48.859587,125064.25,2025-09-29,04:47:48
2025-09-29T04:48:46.454742,125064.25,2025-09-29,04:48:46
2025-09-29T04:50:40.249239,357658.66,2025-09-29,04:50:40
2025-09-29T04:52:04.209361,125064.25,2025-09-29,04:52:04
2025-09-29T04:52:21.279675,357655.46,2025-09-29,04:52:21
2025-09-29T05:12:01.759644,125064.25,2025-09-29,05:12:01
2025-09-29T05:13:41.626667,125064.25,2025-09-29,05:13:41
2025-09-29T05:16:37.448604,357890.22,2025-09-29,05:16:37
2025-09-29T05:21:04.222220,357792.42,2025-09-29,05:21:04
2025-09-29T05:25:18.083832,125064.25,2025-09-29,05:25:18
2025-09-29T05:26:47.254796,125064.25,2025-09-29,05:26:47
2025-09-29T05:28:12.746420,125064.25,2025-09-29,05:28:12
2025-09-29T05:28:17.273989,125064.25,2025-09-29,05:28:17
2025-09-29T05:28:27.404711,357824.90,2025-09-29,05:28:27
2025-09-29T05:30:07.552108,357801.80,2025-09-29,05:30:07
2025-09-29T05:48:33.184174,125064.25,2025-09-29,05:48:33
2025-09-29T06:13:08.524439,357569.26,2025-09-29,06:13:08
2025-09-29T06:16:30.232787,357810.36,2025-09-29,06:16:30
2025-09-29T13:10:37.698498,125064.25,2025-09-29,13:10:37
2025-09-29T13:11:26.873163,357998.48,2025-09-29,13:11:26
2025-09-29T13:12:21.262380,357993.28,2025-09-29,13:12:21
2025-09-29T13:13:03.891825,358002.48,2025-09-29,13:13:03
2025-09-29T13:13:22.286635,358029.96,2025-09-29,13:13:22
2025-09-29T13:13:45.087200,358018.88,2025-09-29,13:13:45
2025-09-29T13:17:27.343971,358151.04,2025-09-29,13:17:27
2025-09-29T13:29:39.778379,357419.34,2025-09-29,13:29:39
2025-09-29T13:30:24.912966,358377.07,2025-09-29,13:30:24
2025-09-29T13:32:48.565214,357319.99,2025-09-29,13:32:48
2025-09-29T13:40:38.254732,356447.56,2025-09-29,13:40:38
2025-09-29T13:53:05.278049,356828.43,2025-09-29,13:53:05
2025-09-29T13:56:13.278781,357009.00,2025-09-29,13:56:13
2025-09-29T13:56:29.186092,357118.81,2025-09-29,13:56:29
2025-09-29T13:57:10.332754,357275.17,2025-09-29,13:57:10
2025-09-29T13:58:04.641030,357079.04,2025-09-29,13:58:04
2025-09-29T14:00:37.313098,357017.55,2025-09-29,14:00:37
2025-09-29T14:01:08.773730,356939.87,2025-09-29,14:01:08
2025-09-29T14:02:26.936629,356786.99,2025-09-29,14:02:26
2025-09-29T14:06:48.758621,356752.15,2025-09-29,14:06:48
